Iteration Step: -1
-174.437302 13.213366 455.004272 
263.839752 -873.627380 578.714600 
210.690323 121.192368 477.724457 
-104.218513 189.337006 150.693985 
113.505753 123.216339 -106.444389 
121.463219 113.819443 -96.878906 
-186.402527 109.353371 17.721483 
-178.591095 -109.683182 -174.808716 
-104.973015 287.668793 -341.488281 
37.457489 25.181501 -251.111893 
Iteration Step: 80
-198.789948 15.036755 518.739258 
300.782745 -995.907166 659.747070 
240.243713 138.189026 544.692566 
-118.812714 215.871078 171.816772 
130.519684 139.175308 -120.448921 
137.307968 131.085144 -111.249733 
-212.484802 124.720848 20.229452 
-203.560089 -124.992905 -199.253586 
-119.602745 327.796692 -389.141571 
42.730278 28.696884 -286.004700 
Iteration Step: 90
-223.141754 16.860641 582.472656 
337.725494 -1118.186401 740.779175 
269.796051 155.185501 611.659424 
-133.407043 242.403061 192.936600 
147.785416 154.829437 -134.103577 
152.895493 148.653671 -125.972244 
-238.563950 140.088776 22.737892 
-228.527206 -140.300110 -223.697510 
-134.231567 367.922668 -436.792847 
48.003029 32.214611 -320.893188 
Iteration Step: 100
-247.492935 18.684921 646.204834 
374.668243 -1240.465454 821.811279 
299.347565 172.181808 678.625427 
-148.001465 268.933319 214.054092 
165.418640 170.034073 -147.144226 
168.111160 166.670105 -141.310120 
-264.640564 155.457047 25.246708 
-253.492813 -155.605316 -248.140717 
-148.859665 408.047180 -484.442535 
53.275761 35.734200 -355.778290 
Iteration Step: 110
-271.843597 20.509525 709.935974 
411.610992 -1362.744507 902.843384 
328.898407 189.177979 745.590576 
-162.595963 295.462250 235.169662 
179.738190 188.662842 -157.305939 
186.637009 181.261139 -159.528152 
-290.715149 170.825607 27.755823 
-278.457184 -170.908890 -272.583313 
-163.487152 448.170441 -532.090881 
58.548473 39.255299 -390.660614 
Iteration Step: 120
-296.193787 22.334394 773.666260 
448.553497 -1485.023560 983.875366 
358.448700 206.174072 812.555115 
-177.190536 321.990021 256.283661 
182.194244 220.162354 -165.686218 
217.023438 182.980316 -179.528580 
-316.788055 186.194366 30.265194 
-303.420532 -186.211151 -297.025421 
-178.114151 488.292725 -579.738220 
63.821186 42.777649 -425.540619 
Iteration Step: 130
-320.543610 24.159489 837.395813 
485.495941 -1607.301880 1064.906860 
387.998535 223.170074 879.519165 
-191.785110 348.516846 277.396332 
184.679688 251.628723 -174.078873 
247.377991 184.731766 -199.517456 
-342.859558 201.563354 32.774773 
-328.383057 -201.512299 -321.467102 
-192.740738 528.414185 -627.384521 
69.093864 46.301044 -460.418732 
Iteration Step: 140
-344.893127 25.984774 901.124817 
522.438477 -1729.579712 1145.938354 
417.547974 240.166016 946.482666 
-206.379822 375.042877 298.507874 
187.171814 283.086456 -182.474899 
277.723755 186.491058 -219.503571 
-368.929840 216.932510 35.284534 
-353.344849 -216.812469 -345.908447 
-207.366974 568.534912 -675.030090 
74.366539 49.825317 -495.295166 
Iteration Step: 150
-369.242401 27.810225 964.853271 
559.380737 -1851.857544 1226.969849 
447.097046 257.161865 1013.445801 
-220.974548 401.568207 319.618439 
189.666641 314.540009 -190.872589 
308.064972 188.253906 -239.488586 
-394.999084 232.301819 37.794453 
-378.306000 -232.111847 -370.349457 
